timestamp,generation,candidate_idx,score,base_score,final_score,model_name,system_prompt,user_prompt,system_original_prompt,system_paraphrased_prompt,user_original_prompt,user_paraphrased_prompt
2026-05-11T14:04:43.468573+00:00,7,3,0.9991525,1.0,0.9991525,model-groq,Classify sentiment in strict format. Output exactly positive or negative.,Classify sentiment of this text: {input},Classify sentiment in strict format. Output exactly positive or negative.,Classify sentiment in strict format. Output exactly positive or negative.,Classify sentiment of this text: {input},Classify sentiment of this text: {input}
2026-05-11T14:04:00.594286+00:00,7,2,0.9991525,1.0,0.9991525,model-groq,Classify sentiment in strict format. Output exactly positive or negative.,Classify sentiment of this text: {input},Classify sentiment in strict format. Output exactly positive or negative.,Classify sentiment in strict format. Output exactly positive or negative.,Classify sentiment of this text: {input},Classify sentiment of this text: {input}
2026-05-11T14:03:16.433530+00:00,7,1,0.9991525,1.0,0.9991525,model-groq,Classify sentiment in strict format. Output exactly positive or negative.,Classify sentiment of this text: {input},Classify sentiment in strict format. Output exactly positive or negative.,Classify sentiment in strict format. Output exactly positive or negative.,Classify sentiment of this text: {input},Classify sentiment of this text: {input}
2026-05-11T14:02:33.271940+00:00,7,0,0.9991525,1.0,0.9991525,model-groq,Classify sentiment in strict format. Output exactly positive or negative.,Classify sentiment of this text: {input},Classify sentiment in strict format. Output exactly positive or negative.,Classify sentiment in strict format. Output exactly positive or negative.,Classify sentiment of this text: {input},Classify sentiment of this text: {input}
2026-05-11T14:01:53.111875+00:00,6,3,0.9991525,1.0,0.9991525,model-groq,Classify sentiment in strict format. Output exactly positive or negative.,Classify sentiment of this text: {input},Classify sentiment in strict format. Output exactly positive or negative.,Classify sentiment in strict format. Output exactly positive or negative.,Classify sentiment of this text: {input},Classify sentiment of this text: {input}
2026-05-11T14:01:14.024432+00:00,6,2,0.9991525,1.0,0.9991525,model-groq,Classify sentiment in strict format. Output exactly positive or negative.,Classify sentiment of this text: {input},Classify sentiment in strict format. Output exactly positive or negative.,Classify sentiment in strict format. Output exactly positive or negative.,Classify sentiment of this text: {input},Classify sentiment of this text: {input}
2026-05-11T14:00:34.156702+00:00,6,1,0.9991525,1.0,0.9991525,model-groq,Classify sentiment in strict format. Output exactly positive or negative.,Classify sentiment of this text: {input},Classify sentiment in strict format. Output exactly positive or negative.,Classify sentiment in strict format. Output exactly positive or negative.,Classify sentiment of this text: {input},Classify sentiment of this text: {input}
2026-05-11T13:59:52.244475+00:00,6,0,0.9991525,1.0,0.9991525,model-groq,Classify sentiment in strict format. Output exactly positive or negative.,Classify sentiment of this text: {input},Classify sentiment in strict format. Output exactly positive or negative.,Classify sentiment in strict format. Output exactly positive or negative.,Classify sentiment of this text: {input},Classify sentiment of this text: {input}
2026-05-11T13:59:09.341331+00:00,5,3,0.9991525,1.0,0.9991525,model-groq,Classify sentiment in strict format. Output exactly positive or negative.,Classify sentiment of this text: {input},Classify sentiment in strict format. Output exactly positive or negative.,Classify sentiment in strict format. Output exactly positive or negative.,Classify sentiment of this text: {input},Classify sentiment of this text: {input}
2026-05-11T13:58:29.917900+00:00,5,2,0.9991525,1.0,0.9991525,model-groq,Classify sentiment in strict format. Output exactly positive or negative.,Classify sentiment of this text: {input},Classify sentiment in strict format. Output exactly positive or negative.,Classify sentiment in strict format. Output exactly positive or negative.,Classify sentiment of this text: {input},Classify sentiment of this text: {input}
2026-05-11T13:57:51.385882+00:00,5,1,0.9991525,1.0,0.9991525,model-groq,Classify sentiment in strict format. Output exactly positive or negative.,Classify sentiment of this text: {input},Classify sentiment in strict format. Output exactly positive or negative.,Classify sentiment in strict format. Output exactly positive or negative.,Classify sentiment of this text: {input},Classify sentiment of this text: {input}
2026-05-11T13:57:12.368723+00:00,5,0,0.9991525,1.0,0.9991525,model-groq,Classify sentiment in strict format. Output exactly positive or negative.,Classify sentiment of this text: {input},Classify sentiment in strict format. Output exactly positive or negative.,Classify sentiment in strict format. Output exactly positive or negative.,Classify sentiment of this text: {input},Classify sentiment of this text: {input}
2026-05-11T13:56:33.239227+00:00,4,3,0.9991525,1.0,0.9991525,model-groq,Classify sentiment in strict format. Output exactly positive or negative.,Classify sentiment of this text: {input},Classify sentiment in strict format. Output exactly positive or negative.,Classify sentiment in strict format. Output exactly positive or negative.,Classify sentiment of this text: {input},Classify sentiment of this text: {input}
2026-05-11T13:54:35.278110+00:00,4,0,0.9991525,1.0,0.9991525,model-groq,Classify sentiment in strict format. Output exactly positive or negative.,Classify sentiment of this text: {input},Classify sentiment in strict format. Output exactly positive or negative.,Classify sentiment in strict format. Output exactly positive or negative.,Classify sentiment of this text: {input},Classify sentiment of this text: {input}
2026-05-11T13:53:15.760475+00:00,3,2,0.9991525,1.0,0.9991525,model-groq,Classify sentiment in strict format. Output exactly positive or negative.,Classify sentiment of this text: {input},Classify sentiment in strict format. Output exactly positive or negative.,Classify sentiment in strict format. Output exactly positive or negative.,Classify sentiment of this text: {input},Classify sentiment of this text: {input}
2026-05-11T13:55:53.656268+00:00,4,2,0.99841,1.0,0.99841,model-groq,Classify sentiment in strict format. Output exactly positive or negative.,"Classify sentiment: positive or negative. Text: {input}

Original prompt:
Determine if the sentiment is positive or negative.
Text: {input}",Classify sentiment in strict format. Output exactly positive or negative.,Classify sentiment in strict format. Output exactly positive or negative.,"Determine if the sentiment is positive or negative.
Text: {input}","Classify sentiment: positive or negative. Text: {input}

Original prompt:
Determine if the sentiment is positive or negative.
Text: {input}"
2026-05-11T13:50:36.779209+00:00,2,2,0.99841,1.0,0.99841,model-groq,Classify sentiment in strict format. Output exactly positive or negative.,"Classify sentiment: positive or negative. Text: {input}

Original prompt:
Determine if the sentiment is positive or negative.
Text: {input}",Classify sentiment in strict format. Output exactly positive or negative.,Classify sentiment in strict format. Output exactly positive or negative.,"Determine if the sentiment is positive or negative.
Text: {input}","Classify sentiment: positive or negative. Text: {input}

Original prompt:
Determine if the sentiment is positive or negative.
Text: {input}"
2026-05-11T13:55:14.132208+00:00,4,1,0.997945,1.0,0.997945,model-groq,"Classify sentiment as positive or negative.

Original prompt:
Classify sentiment in strict format. Output exactly positive or negative.","Classify sentiment: positive or negative. Text: {input}

Original prompt:
Determine if the sentiment is positive or negative.
Text: {input}",Classify sentiment in strict format. Output exactly positive or negative.,"Classify sentiment as positive or negative.

Original prompt:
Classify sentiment in strict format. Output exactly positive or negative.","Determine if the sentiment is positive or negative.
Text: {input}","Classify sentiment: positive or negative. Text: {input}

Original prompt:
Determine if the sentiment is positive or negative.
Text: {input}"
2026-05-11T13:52:34.714001+00:00,3,1,0.997945,1.0,0.997945,model-groq,"Classify sentiment as positive or negative.

Original prompt:
Classify sentiment in strict format. Output exactly positive or negative.","Classify sentiment: positive or negative. Text: {input}

Original prompt:
Determine if the sentiment is positive or negative.
Text: {input}",Classify sentiment in strict format. Output exactly positive or negative.,"Classify sentiment as positive or negative.

Original prompt:
Classify sentiment in strict format. Output exactly positive or negative.","Determine if the sentiment is positive or negative.
Text: {input}","Classify sentiment: positive or negative. Text: {input}

Original prompt:
Determine if the sentiment is positive or negative.
Text: {input}"
